Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
Small Business Development,Small Business Development,National,Programme 2: Sector and Market Development,Programme 2: Sector and Market Development,Quarterly,Number of Monitoring Reports on the Incubation Support Programme Improvement Plan approved by EXCO.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,N/A,N/A,,,"Monitoring Report on
the Incubation Support
Programme Improvement
Plan approved by EXCO. ",,,,,,N/A,,,,,,"Monitoring Report on
the Incubation Support
Programme Improvement
Plan approved by EXCO. ",,,,,,"Two (2) Monitoring Reports
on the Incubation Support
Programme Improvement
Plan approved by EXCO. ",-,,,,,,,389
Small Business Development,Small Business Development,National,Programme 2: Sector and Market Development,Programme 2: Sector and Market Development,Quarterly,Number of products produced and services rendered by SMMEs and Co-operatives linked to domestic market.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","75 products produced and
services rendered by
SMMEs and Co-operatives
linked to domestic market. ","Target Achieved:

100 products produced and services rendered by SMMEs and Co-operatives linked to Domestic market.
 ","Due to a variety of products  produced by small enterprises more  products met the criteria than anticipated. 
 ",N/A,,,"75 products produced and
services rendered by
SMMEs and Co-operatives
linked to domestic market. ",,,,,,"50 products produced
and services rendered by
SMMEs and Co-operatives
linked to domestic market. ",,,,,,"50 products produced
and services rendered by
SMMEs and Co-operatives
linked to domestic market. ",,,,,,"250 products produced
and services rendered by
SMMEs and Co-operatives
linked to domestic market. ",-,,,,,,,389
Small Business Development,Small Business Development,National,Programme 2: Sector and Market Development,Programme 2: Sector and Market Development,Quarterly,Number of SMMEs and Co-operatives exposed to global market opportunities.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","Implementation Plan and
approved by EXCO. ","Target achieved:

Implementation Plan was approved by EXCO.
 ",N/A,N/A,,,"100 SMMEs and Cooperatives
exposed to
global market opportunities. ",,,,,,"100 SMMEs and Cooperatives
exposed to
global market opportunities. ",,,,,,"50 SMMEs and Cooperatives
exposed to
global market opportunities. ",,,,,,"250 SMMEs and Cooperatives
exposed to
global market opportunities. ",-,,,,,,,389
Small Business Development,Small Business Development,National,Programme 3: Development Finance,Programme 3: Development Finance,Quarterly,Consolidated report on the implementation plan of the SMMEs and Co-operatives Funding Policy approved by EXCO.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","Progress report on the
Implementation plan of
SMMEs and Co-operatives
Funding Policy approved by
EXCO. ","Target achieved:

Progress report on the Implementation Plan of SMMEs and Co-operatives Funding Policy approved by EXCO.
 ",N/A,N/A,,,"Progress report on the
Implementation plan of
SMMEs and Co-operatives
Funding Policy approved by
EXCO. ",,,,,,"Progress report on the
Implementation plan of
SMMEs and Co-operatives
Funding Policy approved by
EXCO. ",,,,,,"Progress report on the
Implementation plan of
SMMEs and Co-operatives
Funding Policy approved by
EXCO.
Consolidated report on the
implementation plan of the
SMMEs and Co-operatives
Funding Policy approved by
EXCO. ",,,,,,"Consolidated report on the
implementation plan of the
SMMEs and Co-operatives
Funding Policy approved by
EXCO. ",-,,,,,,,389
Small Business Development,Small Business Development,National,Programme 3: Development Finance,Programme 3: Development Finance,Quarterly,Consolidated report on the number of competitive SMMEs and Co-operatives supported approved by EXCO.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","Progress update Report
on the 5 000 competitive
SMMEs and Co-operatives
supported developed. ","Target Achieved:

5971 Competitive SMMEs and Co-operatives supported. ",The major contributor to the variance is due to the number of clients that were assisted through Seda - TREP support prog .,N/A,,,"Progress update Report
on the 15 000 competitive
SMMEs and Co-operatives
supported developed. ",,,,,,"Progress update Report
on the 15 000 competitive
SMMEs and Co-operatives
supported developed. ",,,,,,"Progress update Report
on the 15 000 competitive
SMMEs and Co-operatives
supported developed.
Consolidated report on the
50 000 competitive SMMEs
and Co-operatives supported
approved by EXCO. ",,,,,,"Consolidated report on
the 50 000 competitive
SMMEs and Co-operatives
supported approved by
EXCO. ",-,,,,,,,389
Small Business Development,Small Business Development,National,Programme 3: Development Finance,Programme 3: Development Finance,Quarterly,Number of Co-operatives supported financially and/or non-financially.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","50 Co-operatives
supported financially and/or
non-financially. ","Target Achieved:

81 Co-operatives
supported financially and/or non-financially.","The turnout for the Co-operatives training was higher than anticipated.
",N/A,,,"50 Co-operatives
supported financially and/or
non-financially. ",,,,,,"50 Co-operatives
supported financially and/or
non-financially. ",,,,,,"100 Co-operatives
supported financially and/or
non-financially. ",,,,,,"250 Co-operatives
supported financially and/or
non-financially. ",-,,,,,,,389
Small Business Development,Small Business Development,National,Programme 3: Development Finance,Programme 3: Development Finance,Quarterly,Number of Crafters supported through the Craft Customised Sector Programme.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,N/A,N/A,,,"Signing of MOAs with the
hubs and agencies. ",,,,,,"500 Crafters supported through the Craft
Customised Sector
Programme. ",,,,,,"500 Crafters supported through the Craft
Customised Sector
Programme. ",,,,,,"1000 Crafters supported through the Craft Customised Sector
Programme. ",-,,,,,,,389
Small Business Development,Small Business Development,National,Programme 3: Development Finance,Programme 3: Development Finance,Quarterly,Number of informal business supported through IMEDP.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","333 informal businesses
supported through IMEDP. ","Target Achieved:

5971 Competitive SMMEs and Co-operatives supported. ",The major contributor to the variance is due to the number of clients that were assisted through Seda - TREP support prog .,N/A,,,"333 informal businesses
supported through IMEDP. ",,,,,,"333 informal businesses
supported through IMEDP. ",,,,,,"334 informal businesses
supported through IMEDP. ",,,,,,"1 333 informal businesses
supported through IMEDP.",-,,,,,,,389
Small Business Development,Small Business Development,National,Programme 3: Development Finance,Programme 3: Development Finance,Quarterly,Number of start-up youth businesses supported financially and non-financially.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","2 500 start-up youth
businesses supported financially and/or non-financially. ","Target Achieved:

688 informal  businesses supported through IMEDP.","Increased interactions with targeted municipalities, business associations and responsiveness of the DSBD due to high demand.",N/A,,,"2 500 start-up youth
businesses supported financially and/or non-financially. ",,,,,,"2 500 start-up youth
businesses supported financially and/or non-financially. ",,,,,,"2 500 start-up youth
businesses supported financially and/or non-financially. ",,,,,,"10 000 start-up youth
businesses supported financially and/or non-financially. ",-,,,,,,,389
Small Business Development,Small Business Development,National,Programme 3: Development Finance,Programme 3: Development Finance,Quarterly,Number of Township and Rural Enterprises supported financially and/or non-financially.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","5 000 Township and Rural
Enterprises supported financially and/or non-financially. ","Target not achieved:

3 727 Township and Rural Enterprises supported financially and/or non-financially.",The major contributor for not achieving the target is that sefa has introduced new controls for performing the verification on both suppliers and applicants.,"Increase awareness on TREP programme
Advocacy with Provincial and District Level LED Sections.
Pipeline issues will be addressed.",,,"10 000 Township and Rural
Enterprises supported financially and/or non-financially. ",,,,,,"10 000 Township and Rural
Enterprises supported financially and/or non-financially. ",,,,,,"5 000 Township and Rural
Enterprises supported financially and/or non-financially. ",,,,,,"30 000 Township
and Rural Enterprises
supported financially and/or
non-financially. ",-,,,,,,,389
Small Business Development,Small Business Development,National,Programme 4: Enterprise Development,Programme 4: Enterprise Development,Quarterly,A Regulatory Reform Implementation Plan submitted to Minister for approval.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","Stakeholder consultations
conducted with key stakeholders on regulatory impediments to SMME growth. ","Target Achieved:

Stakeholder consultations were conducted with key stakeholders on regulatory impediments to SMME growth.",N/A,N/A,,,"Stakeholder consultations
conducted with key stakeholders on regulatory impediments to SMME growth. ",,,,,,"Report on inputs and
feedback from key
stakeholders incorporated into a prioritised Regulatory Reform Implementation
Plan. ",,,,,,"A Regulatory Reform
Implementation Plan
submitted to Minister for
approval. ",,,,,,"A Regulatory Reform
Implementation Plan
submitted to Minister for
approval. ",-,,,,,,,389
Small Business Development,Small Business Development,National,Programme 4: Enterprise Development,Programme 4: Enterprise Development,Quarterly,National Entrepreneurship Strategy approved by EXCO.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","Draft National
Entrepreneurship Strategy
Developed and presented to EXCO. ","Target Achieved:

Draft National
Entrepreneurship Strategy
Developed and presented to EXCO.
 ",N/A,N/A,,,"Stakeholder consultations
on the Draft National
Entrepreneurship Strategy
conducted. ",,,,,,"Revised Draft National
Entrepreneurship
Strategy based on inputs received from stakeholder consultations. ",,,,,,"National Entrepreneurship
Strategy approved by EXCO. ",,,,,,"National Entrepreneurship
Strategy approved by EXCO. ",-,,,,,,,389
Small Business Development,Small Business Development,National,Programme 4: Enterprise Development,Programme 4: Enterprise Development,Quarterly,Number of municipalities assisted to roll out the Red- Tape Reduction Awareness Programme.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","5 municipalities assisted to
roll out the Red-Tape
Reduction Awareness
Programme. ","Target not Achieved: 

One (1) Municipality (eThekwini Metropolitan) was assisted to roll out the Red-Tape Reduction Awareness Programme.",The placement that was effective from April 2023 left the Business Efficiency and Effectiveness Optimisation Unit under- staffed. ,"Capacitate the unit
The  four municipalities will be covered in the next quarter.",,,"5 municipalities assisted to
roll out the Red-Tape
Reduction Awareness
Programme. ",,,,,,"10 municipalities assisted
to roll out the Red-Tape
Reduction Awareness
Programme. ",,,,,,"10 municipalities assisted
to roll out the Red-Tape
Reduction Awareness
Programme. ",,,,,,"30 municipalities assisted
to roll out the Red-Tape
Reduction Awareness
Programme. ",-,,,,,,,389
Small Business Development,Small Business Development,National,Programme 4: Enterprise Development,Programme 4: Enterprise Development,Quarterly,Number of the National Integrated Small Enterprise Development Strategic Framework implementation Reports approved by EXCO.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","National Integrated
Small Enterprise
Development Strategic
Framework implementation
report approved by EXCO. ","Target Achieved: 

National Integrated Small Enterprise Development Strategic Framework implementation report developed and approved by EXCO.",N/A,N/A,,,"National Integrated
Small Enterprise
Development Strategic
Framework implementation
report approved by EXCO. ",,,,,,"National Integrated
Small Enterprise
Development Strategic
Framework implementation
report approved by EXCO. ",,,,,,"National Integrated
Small Enterprise
Development Strategic
Framework implementation
report approved by EXCO. ",,,,,,"Four (4) National
Integrated Small Enterprise
Development Strategic
Framework Implementation
reports approved by EXCO. ",-,,,,,,,389
Small Business Development,Small Business Development,National,Programme 4: Enterprise Development,Programme 4: Enterprise Development,Quarterly,Sector-focused and Hybrid Incubation and Digital Hub Support Strategy developed and approved by EXCO.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","Sector-focused and Hybrid
Incubation and Digital Hub
Support Strategy document
review.","Target Achieved:

Sector-focused and Hybrid Incubation and Digital Hub Support Strategy document was reviewed.
 ",N/A,N/A,,,"Stakeholder consultations
conducted with key stakeholders on Sector focused and Hybrid Incubation and Digital Hub
Support Strategy. ",,,,,,"Revised Sector-focused
and Hybrid Incubation
and Digital Hub Support
Strategy based on inputs received from stakeholder consultations. ",,,,,,"Sector-focused and Hybrid
Incubation and Digital Hub
Support Strategy approvedby EXCO. ",,,,,,"Sector-focused and Hybrid
Incubation and Digital Hub
Support Strategy approved by EXCO. ",-,,,,,,,389
Social Development,Social Development,National,Programme 1: Administration ,1.1: Entity Oversight,Quarterly,Entity Governance and Oversight Framework implemented,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Quarterly implement
ation of the Entity and Oversight Framework","Two-days’ workshop
 with the Central Drug Authority was convened to develop plans for the Provincial Substance Abuse Forums (PSAFS).

An interface meeting was held with the (SACSSP) to deal with the reclassification of the Council which is currently underway.


",No deviation ,Not applicable ,,,Quarterly implementation of the Entity Oversight Framework,,,,,,Quarterly implementation of the Entity Oversight Framework ,,,,,,Quarterly implementation of the Entity Oversight Framework,,,,,,"Implement the Entity 
Governance and Oversight Framework",-,,,,,,,389
Social Development,Social Development,National,Programme 1: Administration ,1.2: Stakeholder Management and Donor Coordination,Quarterly,Stakeholder and Donor Management Strategy Implemented ,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",Host stakeholder engagement session," A stakeholder engagement session was arranged and hosted on the 6 June 2023 in cape town. 

 The engagement session was proceeded by a virtual viewing of the departmental NCOP budget vote speech.

During the stakeholder engagement session there were facilitated panel discussion focusing on the banking sector, retail sector and corporate in general as well as developmental institutions.

Some of the outcomes of the panel discussions pointed out on the need to build a society that is not reliant on grants and the government to create jobs but be job creators themselves,  there is a need for government to go to the people and implement the great policies and strategies that are in place, the need to innovatively mobilise social partners with the view to ensuring that issues of social and economic security becomes a societal responsibility

",No deviation,Not applicable ,,,Map DSD stakeholders,,,,,,Host a round table discussion on innovative social finance ,,,,,,Create a digital platform that enables real time stakeholder database updates,,,,,,Implement the Stakeholder and Donor Management Strategy ,-,,,,,,,389
Social Development,Social Development,National,Programme 1: Administration ,1.3: Monitoring and Evaluation,Quarterly,Electronic M&E System for the Social Development Sector implemented,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",Develop pilot report,Pilot report on the Electronic M&E System was completed             ,No deviation ,Not applicable ,,,Complete enhancements on Electronic M&E System,,,,,,Training and roll out in two (2) districts in the North West(NW) province,,,,,,Training and roll out in two(2) districts in NW province,,,,,,Roll out the Electronic M&E System for Social Development in one (1) province ,-,,,,,,,389
Social Development,Social Development,National,Programme 1: Administration ,1.3: Monitoring and Evaluation,Quarterly,Social Welfare Index Report developed,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",Draft concept document ,Draft concept document completed                  ,Not deviation ,Not applicable ,,,Consultations with national and provincial stakeholders ,,,,,,Develop Social Development Index,,,,,,Cost the implementation plan with a process map,,,,,,Develop the Social Welfare Index,-,,,,,,,389
Social Development,Social Development,National,Programme 1: Administration ,1.4: Finance,Quarterly,Audit opinion on Annual Financial Statements (AFS),Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",AFS for the 2022/23 financial year submitted for audit ,"The AFS for the 2022/23 financial year was submitted to the Auditor General of South Africa for auditing and to National Treasury for consolidation on 31 May 2023.    
",No deviation ,Not applicable ,,,Obtain an Unqualified Audit Opinion ,,,,,,-,,,,,,-,,,,,,Obtain Unqualified Audit opinion,-,,,,,,,389
Social Development,Social Development,National,Programme 1: Administration ,1.5: Information Management Systems and Technology,Quarterly,National Integrated Social Protection Information System (NISPIS) implemented,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Configure DSD’s Social
Development Integrated
Case Management
System (SDICMS) to be
ready for NISPIS Hub.
Integration with the
Department of Home
Affairs (DHA) on Personal
Identification Protection
(PIP)
","DSD Social Development Integrated Case Management System (SDICMS) successfully configured and ready for NISPIS.

Successfully integrated with Department of Home Affairs (DHA) on Personal Identification Protection (PIP)          

",No deviation ,Not applicable ,,,"Integration of all grant
beneficiaries data from
SASSA.
Integration of
compensation funds data
from the Department of
Labour (DoL)
",,,,,,"Integration with matric results
data from the Department of Basic
Education (DBE).
Integration of learners’ entry
application status to higher
institutions from the Department
of Higher Education and Training
(DHET).
Integration of Thuthuzela
data from the Department of
Health (DoH) and the National
Prosecuting Authority (NPA).
",,,,,,"Integration of household
data from COGTA.
Integration of Personal
Identity Verification
Access (PIVA) from DHA.
Implement NISPIS with
the integrated data sets.
",,,,,,Implement NISPIS,-,,,,,,,389
Social Development,Social Development,National,Programme 1: Administration ,1.6: Human Capital Management,Quarterly,Government-Wide strategy for the employment of Social Service Professionals implemented,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","A draft sector strategy for
the employment of Social
Service Professionals
submitted to the
SPCHD-DG Cluster for
consideration
","The SPCHD Cluster dated 15 March 2023 advised that the draft strategy be strengthened. 
The draft strategy was therefore discussed for inputs at: National Treasury MTEC on 18 April 23. HSDS in June 2023. 

",Strengthen the draft strategy before submitting for consideration             ,"With four (4) DSD Provincial HOD (WC, KZN, NC, GP) to refine the strategy.
National Treasury advised that DSD to embellish the strategy by including Service Delivery Model, Trends analysis and data analysis, norms and standards and ratio for employment               
",,,"A draft sector strategy
for the employment
of Social Service
Professionals submitted
to Cabinet Committee for
consideration
",,,,,,"A draft sector strategy
for the employment
of Social Service
Professionals submitted
to Portfolio Committee
for consideration
",,,,,,"A draft sector strategy for
the employment of Social
Service Professionals
submitted to the Cabinet
for approval
",,,,,,"Submit the
Government-
Wide Strategy
for the
employment
of Social
Service
Professionals
to Cabinet for
approval
",-,,,,,,,389
Social Development,Social Development,National,Programme 1: Administration ,1.7: Legal Services ,Quarterly,SASSA Amendment Act approved,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Submit the Bill to Office of the
Chief State Law Adviser for a
preliminary opinion
","Submitted the Bill to Office of the Chief State Law Advise preliminary certification not yet received pending response to comments made earlier during the last quarter of the previous financial year
",No deviation,Not applicable ,,,"Incorporate comments
from the office of the
Chief State Law
 Adviser",,,,,,"Submit the Bill to DPME
for final SEIAS and to
OCSLA for a preliminary
certification
",,,,,,"Submit the Bill to
Cabinet for approval
for introduction to
Parliament
",,,,,,"Submit the Draft
SASSA
Amendment
Bill to Cabinet
for approval to
introduce the Bill to
Parliament
",-,,,,,,,389
Social Development,Social Development,National,Programme 1: Administration ,1.7: Legal Services ,Quarterly,Victim Support Services Bill approved,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Submit to OCSLA for a
preliminary opinion and
incorporate comments from
Office of the Chief State Law
Adviser in the Bill
","Submitted to OCSLA,  document shared with NEDLAC and more comments received from engagements with NEDLAC",No deviation ,Not applicable ,,,-,,,,,,Costing of the Bill,,,,,,"Submit the VSS Bill to
Cabinet for introduction
to Parliament and
processing
",,,,,,"Submit the VSS
Bill to Cabinet
for approval to
introduce to
Parliament",-,,,,,,,389
Social Development,Social Development,National,Programme 1: Administration ,1.7: Legal Services ,Quarterly,NDA Amendment Bill approved ,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Produce a refined Draft Bill
","Bill has been refined based on the turnaround strategy NDA developed
",No deviation ,Not applicable ,,,"Submit the Bill to HSDS
and MinMec
",,,,,,"Consult with TWG and
Social Protection Cluster
",,,,,,"Submit to Cabinet for
approval to solicit public
comment
",,,,,,"Submit NDA
Amendment Bill
to Cabinet for
approval to solicit
public comments
",-,,,,,,,389
Social Development,Social Development,National,Programme 2: Social Assistance ,2.1: Social Assistance,Quarterly,Monthly payment of social grant beneficiaries as administered and paid by SASSA on behalf of DSD,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",63.25000000,63.0,This was due to misalignment of SOCPEN data and cash flow requirements,The SOCPEN data will be aligned to cashflow requirements action             ,,,63.25000000,,,,,,63.25000000,,,,,,63.25000000,,,,,,253000000,63000000,,,,,,,389
Social Development,Social Development,National,Programme 3: Social Security Policy and Administration,3.1: Comprehensive Social Security,Quarterly,Policy on integrating children’s grant beneficiaries with government services approved,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Refine and validate
a draft Policy on
Integrating Children’s
Grant Beneficiaries with
Government Services","Conducted a desk-top review, refined, and validated
a draft Policy on Integrating Children’s Grant Beneficiaries with Government Services
",No deviation ,Not applicable ,,,"SEIAS Report for
a draft Policy on
Integrating Children’s
Grant Beneficiaries
with Government
Services submitted
to the Presidency for
consideration",,,,,,"A draft Policy on Integrating
Children’s Grant
Beneficiaries with
Government Services
submitted to the TWG - DG
Cluster for consideration",,,,,,"A draft Policy on
Integrating
Children’s Grant
Beneficiaries with
Government Services
submitted to the
SPCHD - DG Cluster for
consideration",,,,,,"A draft Policy on
Integrating
Children’s Grant
Beneficiaries with
Government Services
submitted to the
SPCHD - DG Cluster for
consideration",-,,,,,,,389
Social Development,Social Development,National,Programme 3: Social Security Policy and Administration,3.1: Comprehensive Social Security,Quarterly,Policy on  Maternal Support for Vulnerable Pregnant Women and Children  approved,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Refine and validate the
draft Policy on Maternal
Support","Conducted a desk-top review, refined, and validated the
draft Policy on Maternal Support
",No deviation ,Not applicable ,,,"SEIAS Report for a draft
Policy on Maternal Support
submitted to the
Presidency for
consideration",,,,,,"A draft Policy on Maternal
Support submitted to
the TWG - DG Cluster for
consideration",,,,,,"A draft Policy on Maternal
Support submitted to the
SPCHD -DG Cluster for
consideration",,,,,,"A draft Policy on Maternal
Support submitted to the
SPCHD - DG Cluster for
consideration",-,,,,,,,389
Social Development,Social Development,National,Programme 3: Social Security Policy and Administration,3.1: Comprehensive Social Security,Quarterly,Policy on Income Support for 18 to 59  year olds approved,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Refine and validate a
draft Policy on Income
Support
for 18 to 59-year-old","Conducted a desk-top review, refined, and validated a
draft Policy on Income
Support
for 18 to 59-year-old
",No deviation ,Not applicable ,,,"SEIAS Report for a draft
Policy on Income Support
for 18 to 59-yearolds
submitted to
the Presidency for
consideration",,,,,,"A draft Policy on Income
Support for 18 to 59-yearolds
submitted to the
TWG -DG Cluster for
consideration",,,,,,"A draft Policy on Income
Support for 18 to 59-yearold
submitted to the
SPCHD - DG Cluster for
consideration",,,,,,"A draft Policy on Income
Support for 18 to 59-yearolds
submitted to the
SPCHD - DG Cluster for
consideration",-,,,,,,,389
Social Development,Social Development,National,Programme 3: Social Security Policy and Administration,3.1: Comprehensive Social Security,Quarterly,Audit report on  the Social  Assistance Frameworks  and Systems produced ,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Approved Audit Planning
Documents on Disability
Grant Medical Review
Processes","The planning 
documents on Disability
Grant Medical Review were submitted and approved
",No deviation ,Not applicable ,,,"Draft Audit Findings
on Disability Grant Medical
Review Processes",,,,,,"Approved Audit Findings
Draft Audit Report on
Disability Grant Medical
Review Processes",,,,,,"Produce an Audit Report
on Disability Grant
Medical Review Processes",,,,,,"Produce an Audit Report
on Disability Grant Medical
Review Processes",-,,,,,,,389
Social Development,Social Development,National,Programme 3: Social Security Policy and Administration,3.1: Comprehensive Social Security,Quarterly,Policy on  voluntary cover  for retirement  and risk  benefits for  atypical and informal  sector workers  approved,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Request Cabinet approval
for public comments on
the draft policy paper","Target not achieved.
 
However, follow-ups with government stakeholders were conducted and some preliminary comments and inputs were received. An input document on institutional framework and financial implications prepared.  
",Late submission of preliminary comments and inputs by government stakeholders,Escalation to Accounting Officers to enable the finalisation of the comments and inputs for the Cabinet memorandum to be processed,,,"Conduct public
consultations on the draft
policy",,,,,,"Consolidate report on
inputs and comments and
revise the draft policy",,,,,,"Submit the draft Policy
on Voluntary Cover for
Retirement and Risk
Benefits for Atypical and
Informal Sector Workers
to Cabinet",,,,,,"Submit draft Policy on
Voluntary Cover for
Retirement and Risk
Benefits for Atypical and
Informal Sector workers to
Cabinet for approval",-,,,,,,,389
Social Development,Social Development,National,Programme 3: Social Security Policy and Administration,3.1: Comprehensive Social Security,Quarterly,Social Security  Bill approved,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",Manuscripts submitted,"Manuscripts for 
Social Security
Review
Volume 2 submitted.  
",No deviation ,Not applicable ,,,Manuscripts reviewed,,,,,,"Draft Social Security Review
Volume 2 approved",,,,,,"Social Security Review
Volume 2 published",,,,,,"Publish Social Security
Review Volume 2",-,,,,,,,389
Social Development,Social Development,National,Programme 3: Social Security Policy and Administration,3.1: Comprehensive Social Security,Quarterly,Social Security Review published,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Consult relevant
government stakeholders
on the revised Green
Paper on Comprehensive
Social Security Reforms",A consultative workshop was held with government stakeholders on the revised green paper. Preliminary comments and inputs were received,No deviation ,Not applicable ,,,"Submit to Cabinet for
approval to publish the
revised Green Paper for
public comments",,,,,,"Consult other stakeholders
on the revised Green Paper
on Comprehensive Social
Security Reforms",,,,,,"Develop the Draft White
Paper on Comprehensive
Social Security",,,,,,"Develop draft White Paper
on Comprehensive Social
Security",-,,,,,,,389
Social Development,Social Development,National,Programme 4: Welfare Services Policy Development and Implementation Support,4.1: Children’s Legislation and Families,Quarterly,Percentage of the sector workforce capacitated on the Children’s Act,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",5 %,15 %,No deviation,Not Applicable,,,10 %,,,,,,10 %,,,,,,5 %,,,,,,30 %,15 %,,,,,,,389
