Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,OTP_Q1,National_Q4,UID
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,Number of sport and recreation practitioners capacitated..,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",340,389,935,2114,730,429,200,120,2205,3052,,,,,"Target was exceeded as Club Development and Organised Recreation over-achieved against targets set for capacity building in the first quarter. Accredited training was implemented with districts instructed to compile a database of all trained practitioners.
","Use the Sport Confederation, Sport Federations and NPO's to monitor the work of coaches and officials that have been accredited. Ensure that there is a database of trained officials that is submitted to the respective federation and department to monitor.
","Over-achieved, reason for deviation and corrective action provided.","The Grant Programmes reprioritised the training programmes from Q3 and Q4 to Quarter 2 to accommodate the requirements of the amended Grant Business Plans. Transfers to sporting bodies also allowed them to prioritise their training interventions in Quarter 2. This resulted in the targets being exceeded with the annual target being achieved. Siyadlala (Community Recreation) exceeded their annual target by 620 additional people trained.
",,"Reason for deviation is note, however, the department is advised to ensure that all fields are populated. In areas where the reason for deviation and/ or corrective action is not required please kindly put ""N/A"".","Achieved, reason for deviation provided.","The Grant Programmes reprioritised the training programmes.  Transfers to sporting bodies also allowed them to prioritise their training interventions in Quarter 3. This resulted in the targets being exceeded with the annual target being achieved. Siyadlala (Community Recreation) exceeded their annual target by 620 additional people trained.
","Non-compliance with National TIDs as training had to be accredited. 
","Reason for deviation is noted. However, please kindly revise the corrective action statement. elaborate on measures to be taken to correct the deviation.","Not achieved, reason for deviation and corrective action  provided.","The annual target for training has been met. Further club development 
training was conducted in the fourth quarter as a result of the training that could not be finalized in the 3rd Quarter as a result of the non-appointment of an accommodation and travel comply.  
","Non-compliance with National TIDs as training had to be accredited. 
Some training interventions are not accredited despite possessing the necessary competencies
",,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,Number of sport facilities constructed ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,0,5,0,5,5,10,5,,,,,,,No reporting required for the quarter under review.,"targets are set for 3rd quarter and all targets will be met

",,N/A,No reporting required for the quarter under review.,,,Reason for deviation and corrective action is not provided.,"Not achieved, no reason for deviation and corrective action provided.
","There were delays in finalising of bid documents for combo courts and  were closing in December 2024. Evaluation ran from December 2024 to January 2025 and the outcome was non-responsive which resulted in no appointment for these programme. Children Play Gym Equipments were achieved. 
","Combo Court projected for 2024/25 to be re-advertised in 2025/26 financial year.
",,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,Number of sporting bodies supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",7,22,18,22,10,6,0,0,35,50,,,,,"The department was able to fast-track transfer payments to the Prime High-Performance Centre, Comrades Marathon Association, KZN Cricket Union, KZN Rugby Union, KZN Cycling and KZN Olympic Style Boxing Association resulting in targets being over-achieved. 
","Need to monitor the impact of the department's support for sporting bodies. Systems to be in place to measure progression along the development pathway.
","Over-achieved, reason for deviation and corrective action provided.","The department was able to effect several transfer payments to sporting 
bodies in Quarter 2 resulting in the quarterly target being exceeded. Amongst others these included KZN Athletics, KZN Canoeing, KZN Netball and KZN Rugby Union. Sporting bodies such as KZN Chess, KZN Basketball, KZN Table Tennis and KZN Football Association (SAFA) were also supported through goods and services further increasing our achievement against this target.",,"Reason for deviation is note, however, the department is advised to ensure that all fields are populated. In areas where the reason for deviation and/ or corrective action is not required please kindly put ""N/A"".","Achieved, reason for deviation provided.","The department was able to effect several transfer payments to the following sporting bodies in Q3: KZN Golf Union, KZN Rowing, SA Sailing, Sail Africa, Lifesaving KZN amongst others.  The department cut-back on support due to funding limitations and the fact that the annual target was exceeded. 
","Non-compliance amongst certain sporting bodies that prevents funding to be transferred. Increase demand for support from sporting structures.
",Noted.,"Not achieved, reason for deviation and corrective action  provided.  
","No further support was granted to sport bodies in the 4th Quarter as the 
annual target was met. The department was able to effect transfers to all sporting bodies bar one, KZN Volleyball. Districts also accounted for a large portion of the bodies supported as budget was allocated to all 11 districts to support their district sporting structures 
","Non-compliance to transfer requirements remains a challenge for a number of federations. The KZN Volleyball Federation was not able to comply in time resulting in the transfer not being effected. 
",,,,100
Social Development,Social Development,KwaZulu-Natal,Programme 1:  Administration,Sub Programme 1.1.	Office of the MEC,Quarterly,1.1.1 Percentage of parliamentary questions responded to within time frame,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100,"No deviation from planned target
","No deviation from planned target
",,"No deviation from planned target
","No deviation from planned target
",,No deviation from planned target,No deviation from planned target,N/A,,no deviation from planned target,no deviation from planned target,N/A,,"No deviation from planned target
","No deviation from planned target
",,Please remove the reason for deviation and corrective action captured. it does not correlate with target and output.,,100
Social Development,Social Development,KwaZulu-Natal,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Annually,1.2.3 Number of graduates /students on internship programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,150,196,150,196,196,"The overachievement is due to the high unemployment of youth in KZN, resulting in the Department receiving funding from various SETAs to offer work placement to graduates and TVET Learners. 
","The target to take cognizance of the SETA funding in the new financial year. 
",,,,,,,,,,,,,,,,,,100
Social Development,Social Development,KwaZulu-Natal,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Annually,1.2.4 Number of social service professionals employed by the Department,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,0,0,0,0,0,"No deviation from planned target
","No deviation from planned target
",,,,,,,,,,,,,,,,,,100
Social Development,Social Development,KwaZulu-Natal,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Annually,1.2.5 Percentage of suppliers paid within 30 days from the receipt of a valid invoice,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"The Social Protection, Community and Human Development cluster",,,,,,,100 %,87 %,100 %,87 %,87,"The underachievement is due to cash flow challenges as a result of unfunded wage increases.  The department wrote a letter to Provincial Treasury to request additional funds during 2024/2025 Financial year,  but no additional funds were provided. 
","The Department will continue to meet contractual obligations with service providers. 
",,,,,,,,,,,,,,,,,,100
Social Development,Social Development,KwaZulu-Natal,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Annually,1.2.6 Percentage of expenditure in relation to the DSD allocated budget,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"The Social Protection, Community and Human Development cluster",,,,,,,2 %,0.1 %,2 %,0.1 %,0.1,"Variance within 2%No deviation from target
","Variance within 2%No deviation from target
",,,,,,,,,,,,,,,,,,100
Social Development,Social Development,KwaZulu-Natal,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Annually,1.2.7 Vacancy rate as a percentage ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,10 %,1 %,10 %,1 %,1,"Variance within 10%No deviation from target
","Variance within 10%. No deviation from target
",,,,,,,,,,,,,,,,,,100
Social Development,Social Development,KwaZulu-Natal,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Annually,1.2.8 Percentage of disciplinary cases finalised within 90 days from supervisory awareness of the transgression,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"The Social Protection, Community and Human Development cluster",,,,,,,80 %,8.25 %,80 %,8.25 %,8.5,"The underachievement is due to continuous postponements by the Union Representatives, employees often submit medical certificates during disciplinary enquiries, Legal Representatives for both Employer and Employee often do not find common dates to finalise cases and competing responsibilities (non-prioritization of cases by appointed Investigating and Presiding Officers who are not under Labour Relations Unit).
","The underachievement is due to continuous postponements by the Union Representatives, employees often submit medical certificates during disciplinary enquiries, Legal Representatives for both Employer and Employee often do not find common dates to finalise cases and competing responsibilities (non-prioritization of cases by appointed Investigating and Presiding Officers who are not under Labour Relations Unit).
",,,,,,,,,,,,,,,,,,100
Social Development,Social Development,KwaZulu-Natal,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,1.2.1 Number of social service files providing evidence of comprehensive assessments conducted. ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"The Social Protection, Community and Human Development cluster",4747,5226,4714,5156,4669,5161,4771,5317,18901,20860,20860,"The department will align itself with correct assessment of files and generic intervention tool. 
","The department will align itself with correct assessment of files and generic intervention tool. 
",,"Over-achievement due to increase in the referrals for child abuse cases, increased assessment of families affected by floods and strong winds at Vulindlela, Mkhambathini  and  Mpofana, increase in the number of orphans & vulnerable children placed in foster care as well as increased number of cases identified at intake level which required comprehensive assessments. 
","The department will align itself with correct assessment of files and generic intervention tool. 
",Overachievement is noted with reasons for deviation and corrective action in place.,"The overachievement is due to  Increased SRD & OSS referrals and cases. A disaster that occurred in Jozini & Umhlabuyalingana as well as a fire disaster at Vulindlela.  Families in distress identified during the Build Up to Outreach Programme for National Marriage week celebration at Mooi River & at the Premiers Social Crime Prevention Imbizo at Umsunduzi. 
","The department will align itself with correct assessment of files and generic intervention tool. 
",N/A,,"The overachievement is due to  increased OSS referrals and  increased number of cases identified at intake level which required comprehensive assessments. High number of children newly placed in foster care and foster care reviews 
","The department will align itself with correct assessment of files and generic intervention tool. 
",Noted.,,"The overachievement is due to more cases requiring comprehensive assessments than anticipated, assesssment of SRD, new foster care cases, child abuse cases & undue hardship. 
","The department will align itself with correct assessment of files and generic intervention tool. 
",,"Reason for deviation is noted, kindly revise the corrective action statement",,100
Social Development,Social Development,KwaZulu-Natal,Programme 1:  Administration,Sub Programme 1.2:	Corporate Management Services,Quarterly,1.2.2 Number of written supervision agreements between supervisors and supervisees,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"The Social Protection, Community and Human Development cluster",1530,1535,29,53,1515,1532,23,25,3097,3145,3145,"The overachievement is due to  new staff which required new supervision agreements. 
","To continue to render services efficiently. 
",,"Over-achievement due to renewal of the contract Social Workers and student Social Workers. 
","To continue to render services efficiently. 
",Overachievement is noted with reasons for deviation and corrective action in place.,"The overachievement is due to additional student Social Workers placed for practical work placement & newly appointed acting social work supervisors
","To continue to render services efficiently. 
",N/A,Overachievement is noted with reason for deviation and corrective action in place.,"The overachievement is due to review of supervision agreements following the appointment of new acting social work supervisors & written supervision agreements signed with student social workers. 
","To continue to render services efficiently. 
",Noted.,,"The overachievement is due to  new staff which required new supervision agreements. 
","To continue to render services efficiently. 
",,Overachievement noted,,100
Social Development,Social Development,KwaZulu-Natal,Programme 1:  Administration,Sub Programme 1.3.	District Management,Quarterly,1.3.1 Percentage of wards that have been allocated a social worker,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Basic Services,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100,"No deviation from planned target
","No deviation from planned target
",,"No deviation from planned target
","No deviation from planned target
",,No deviation from planned target,No deviation from planned target,N/A,,"No Deviation from planned target
","No Deviation from planned target
",N/A,,"No deviation from planned target
","No deviation from planned target
",,,,100
Social Development,Social Development,KwaZulu-Natal,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,2.1.3 Number of elder abuse cases reported.,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",160,186,169,189,174,181,171,175,674,731,731,"Over-achievement due to increased number of elder abuse cases reported & intensity of awareness programmes and service integration. 
","To monitor the programs and achievement of the target in the affected districts. 
",,"Over-achievement due to increased referrals, strengthening of prevention and early intervention programmes during commemoration of International day against Elder Abuse. 
","To monitor the programs and achievement of the target in the affected districts. 
",,"The overachievement is due to increased referrals and reporting of new cases as a result of positive impact of marketing the services 
","To monitor the programs and achievement of the target in the affected districts. 
",N/A,,"The overachievement is due to Umkhanyakude receiving more cases due to positive impact of awareness Campaigns.
","To monitor the programs and achievement of the target in the affected districts. 
",Noted.,,"The overachievement is due to increased referrals from the GBV Command Centre in UMG.
","To monitor the programs and achievement of the target in the affected districts. 
",,,,100
Social Development,Social Development,KwaZulu-Natal,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,2.2.1 Number of older persons accessing residential facilities,Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",2750,2801,2750,2766,2750,2762,2750,2735,2750,2801,2801,"Over-achievement due to new admissions because of replacements.
","Revised targets is in line with funding and occupancy trends.
",,"Over-achievement due to replacement of beneficiaries who exited the facilities.
","To consider occupancy trends when reviewing targets
",Overachievement is noted with reasons for deviation and corrective action in place.,"The overachievement is due  replacement of beneficiaries who exited the facilities.
","To consider occupancy trends when reviewing targets
",N/A,"Overachievement is noted for this indicator, reason for deviation and corrective action are acknowledged.","The overachievement is due to a high number of new admissions through referrals as well as mortality rate and replacements. 
","To consider occupancy trends when reviewing targets
",Noted.,"
Reason for deviation and corrective action are noted with targeted output overachieved.

",The underachievement is due to permanent closure of SAVF Huis Juana Old Age Home in AMAJ.,"To consider occupancy trends when reviewing targets
",,Target overachievement is noted.,Under achievement recorded with reasons for deviation and corrective action reported.,100
Social Development,Social Development,KwaZulu-Natal,Programme 2:  Social Welfare Services,Sub Programme 2.2: Services to Older Persons,Quarterly,2.2.2 Number of older persons accessing community-based care and support services,Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",14718,15560,14718,15505,14718,15437,14718,15388,14718,15560,15560,"The overachievement is due to an increase in the enrolment of the members after re-registration of the service centres, expansion of active ageing programmes, new enrollments in Luncheon Clubs & funding of new NPO called Phillis Skhosana service Centre in Umzinyathi District. 
","The indicator is highly depended on attendance of older persons to service centres. The attendance fluctuates depending on functionality of the centres. The targets have been revised to take all the factors into consideration.
",,"Over-achievement due to an increase in the enrolment at the service centres. 
","To consider attendance and new admissions when reviewing targets
",Overachievement is noted with reasons for deviation and corrective action in place.,"The overachievement is due to recruitments of new older persons &  increase in the enrolment of the members after re-registration of the service centres. 
","To consider attendance and new admissions when reviewing targets
",N/A,"Overachievement is noted for this indicator, reason for deviation and corrective action are acknowledged.","The overachievement is due  awareness campaigns and newly recruited older persons. Donations from business sector at the Service Centres which encouraged maximum attendance and participation from beneficiaries. 
","To consider attendance and new admissions when reviewing targets
",Noted.,"Reason for deviation and corrective action are noted with targeted output overachieved.

","The overachievement is due to an increase in the enrolment of the members after re-registration of the service centres, expansion of active ageing programmes, new enrollments in Luncheon Clubs & funding of new NPO called Phillis Skhosana service Centre in UMZ. 
","To consider attendance and new admissions when reviewing targets
",,,Overachievement for this indicator is noted with reason for deviation and corrective action reported.,100
Social Development,Social Development,KwaZulu-Natal,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Annually,2.3.1 Number of residential facilities for persons with disabilities ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",,,,,,,22,22,22,22,22,"No deviation from planned target
","No deviation from planned target
",,,,,,,,,,,,,,,,,,100
Social Development,Social Development,KwaZulu-Natal,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,2.3.2 Number of persons with disabilities accessing residential facilities ,Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",977,990,977,988,977,982,977,997,977,997,997,"Over-achievement due to increased movement as admissions replaced those who have exited the facility. 
","The revised targets takes into consideration the occupancy trends and capacity in facilities.
",,"Over-achievement due to increased movement as admissions replaced those that exited the facility. 
","To monitor the target and consider occupancy trends in facilities.
",Targeted output is overachieved with reason for deviation and corrective action included.,"The overachievement is due to new admissions received &  persons who exited the facility were replaced by new admissions. 
","To monitor the target and consider occupancy trends in facilities.
",N/A,"Overachievement is noted for this indicator, reason for deviation and corrective action are acknowledged.","The overachievement is due to assessments conducted during the Disability Month in the previous quarter resulted in placement of Persons with Disabilities in Residential Facilities.  
","To monitor the target and consider occupancy trends in facilities.
",Noted.,"Reason for deviation and corrective action are noted with targeted output overachieved.

","The overachievement is due to increased admission at Natal Settlers home and John Edward Palmer in Tkwn North & intensification of Departmental services in partnership with Community Rehabilitation Workers. 
","To monitor the target and consider occupancy trends in facilities.
",,,Overachievement for this indicator is noted with reason for deviation and corrective action reported.,100
Social Development,Social Development,KwaZulu-Natal,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,2.3.3 Number of protective workshops.,Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",0,0,59,59,0,0,59,59,59,59,59,"No deviation from planned target
","No deviation from planned target
",,"No deviation from planned target
","No deviation from planned target
",,"No deviation from planned target
","No deviation from planned target
",N/A,,"No Deviation from planned target
","No Deviation from planned target
",N/A,,"No deviation from planned target
","No deviation from planned target
",,,,100
Social Development,Social Development,KwaZulu-Natal,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,2.3.4 Number of persons with disabilities accessing services in funded protective workshops.,Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",2452,2510,2452,2525,2452,2525,2452,2564,2452,2564,2564,"Over-achievement due to new members recruited & attendance by persons living in funded residential facilities.
","To ensure close monitoring of the services and consider new admissions when reviewing targets
",,"Over-achievement due to improved participation in the protective workshops and marketing of service through outreach programmes. 
","To ensure close monitoring of the services and consider new admissions when reviewing targets
",Targeted output is overachieved with reason for deviation and corrective action included.,"The overachievement is due to marketing of service 
& improved participation in the protective workshops.
","To monitor the target and consider occupancy trends in facilities.
",N/A,"Overachievement is noted for this indicator, reason for deviation and corrective action are acknowledged.","The overachievement is due to beneficiaries  who exited were replacement by new admissions, improved participation in the protective workshops and marketing of service through outreach programmes. 
","To monitor the target and consider occupancy trends in facilities.
",Noted.,"Reason for deviation and corrective action are noted with targeted output overachieved.

","The overachievement is due to increased number of beneficiaries recruited by Siyazenzela, Thuuthukani, Sikhanyisele and Jabulani Protective Workshops in KC, new intakes received as well as mortality rate and replacements. 
","To monitor the target and consider occupancy trends in facilities.
",,,Overachievement for this indicator is noted with reason for deviation and corrective action reported.,100
Social Development,Social Development,KwaZulu-Natal,Programme 2:  Social Welfare Services,Sub Programme 2.3:	Services to the Persons with Disabilities,Quarterly,2.3.5 Number of organisations implementing community-based rehabilitation programme,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",16,16,16,16,16,16,16,16,16,16,16,"No deviation from planned target
","No deviation from planned target
",,"No deviation from planned target
","No deviation from planned target
",,No deviation from planned target ,No deviation from planned target,N/A,,"No Deviation from planned target
","No Deviation from planned target
",N/A,,"No deviation from planned target
","No deviation from planned target
",,,,100
Social Development,Social Development,KwaZulu-Natal,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,2.4.1 Number of implementers trained on social and behavior change programmes. ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",760,786,735,771,482,499,465,478,2442,2534,2534,"Over-achievement due to inclusion of other SSP staff categories in the implementation in the Social Behaviour Change Programme. 
","To ensure all implementers are trained on the compendium of Social and Behaviour change programmes.
",,"Over-achievement due to the need to train more implementers on social and behaviour change programmes, additional CCGs who were trained on Boys Championing Change programme & higher turnout of trainees than expected. 
","To ensure close monitoring of the program and accurate reporting.
",Targeted output is overachieved with reasons for deviation and corrective action included.,"The overachievement is due to training conducted by the Head Office on Families Matter Programme, high turnout of trainees & additional CCGs who were trained on Men championing change programme in Pongola. 
","To ensure close monitoring of the program and accurate reporting.
",N/A,"Overachievement is noted for this indicator, reason for deviation and corrective action are acknowledged.","The overachievement is due to additional implementers being identified requiring refresher courses for the Social & Behaviour Change programme. 
","To ensure close monitoring of the program and accurate reporting.
",Noted.,"Reason for deviation and corrective action are noted with targeted output overachieved.

","The overachievement is due to inclusion of Child and Youth Care Workers & intensification and roll-out of programmes(Risiha).
","To ensure close monitoring of the program and accurate reporting.
",,,Overachievement for this indicator is noted with reason for deviation and corrective action reported.,100
Social Development,Social Development,KwaZulu-Natal,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,2.4.2 Number of beneficiaries reached through social and behavior change programmes. ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",36933,37807,37012,39052,31494,33302,36876,38385,142315,148546,148546,"Over-achievement due to exacerbated social ills which led to increased requests for the programme to be conducted in schools and communities.
","The programmes to be implemented as per available resources in the Department and upon request due to social ills. The target revised according to available resources to render the programme.
",,"Over-achievement due to integration with traditional leaders wives  who brought more people based on the need, request from Ward councillors for additional community enhancement programmes to be rendered, high referrals from neighboring schools, strengthening of social and behaviour change programmes at a prevention level. 
","To ensure close monitoring of the program and accurate reporting.
",Targeted output is overachieved with reason for deviation and corrective action included.,"The overachievement is due to integration with Ndlunkulu Kubheka and SAPS at Amajuba,  intensification of social behavior change programmes responding to high rate of social ills, e.g. teenage pregnancy, HIV and AIDS & high number of referrals across districts. 
","To ensure close monitoring of the program and accurate reporting.
",N/A,"Overachievement is noted for this indicator, reason for deviation and corrective action are acknowledged.","The overachievement is due to additional SBC programmes rendered in the community with youth and maidens at Vulindlela and Mooi River during the school  holiday programme  at Greenfields CYCC. Intensification of social behavior change programmes responding to high rate of social ills, e.g. teenage pregnancy.  
","To ensure close monitoring of the program and accurate reporting.
",Noted.,"Reason for deviation and corrective action are noted with targeted output overachieved.

","The overachievement is due to service offices and funded NPOs received requests that needed urgent interventions due to social ills facing the schools. Integration between the NPO and uNdlunkulu Nzima to do Community Capacity Enhancement Programme in AMAJ. 
","To ensure close monitoring of the program and accurate reporting.
",,,Overachievement for this indicator is noted with reason for deviation and corrective action reported.,100
Social Development,Social Development,KwaZulu-Natal,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,2.4.3 Number of beneficiaries receiving Psychosocial Support Services,Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",111456,115397,111456,114758,111456,114715,111456,115126,111456,115397,115397,"Over-achievement due to increase in the number families in need that were identified and received services, high number of referrals from schools & increased volume of referrals from War rooms, and other stakeholders. 
","The service continues to be rendered with available human resources and based on the need in our communities. The target has been revised in line with the resources available.
",,"Over-achievement due to higher number of family members per household in need of the service, identification of additional beneficiaries during Build Up for the Commemoration of World TB Day & Child Protection Week. 
","To ensure close monitoring of the program and accurate reporting.
",Targeted output is overachieved with reason for deviation and corrective action included.,"The overachievement is due to increased number of beneficiaries that benefitted as a result of being affected by floods and referrals from War rooms. Strengthened psychosocial support services as a results of increased intervention. Increased number of cases as a result of commemoration of Men's month, women's month, World Alzheimer day as well as awareness campaigns
","To ensure close monitoring of the program and accurate reporting.
",N/A,"Overachievement is noted for this indicator, reason for deviation and corrective action are acknowledged.","The overachievement is due to  high intake of cases, strengthening of supervision with CCGs, referrals from War Rooms and beneficiaries of SRD. Strengthened psychosocial support services as a results of increased intervention for communities and families in crisis. 
","To ensure close monitoring of the program and accurate reporting.
 
",Noted.,"Reason for deviation and corrective action are noted with targeted output overachieved.

","The overachievement is due to newly identified beneficiaries in need of psychosocial support services as a result of awareness campaigns,  increased psychosocial support provided by the CCGs to the needy families and beneficiaries profiled for SRD & families affected by heavy rains in Richards Bay and Esikhawini. 
","To ensure close monitoring of the program and accurate reporting.
",,,The same comment as above applies.,100
Social Development,Social Development,KwaZulu-Natal,Programme 2:  Social Welfare Services,Sub Programme 2.5: Social Relief,Quarterly,2.5.1 Number of beneficiaries who benefitted from DSD Social Relief programmes,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",6768,11908,7767,12488,7975,16503,7915,12069,30425,52968,52968,"The overachievement is due to inclement weather conditions and climate change, increased number of flood victims who were affected and in need of SRD & extended family structures who received SRD. 
","To ensure implementation in line with available budget.
",,"Over-achievement due to identification of additional beneficiaries during Build Up for the Commemoration of World TB Day, increased identified families at intake level & referrals from OSS structures and families in crisis which required assistant with food. 
","To ensure implementation in line with available budget.
",,"The overachievement is due to build-up activities for Cabinet OSS/DDM, increased number of referrals received from War Rooms and Disaster management team. Beneficiaries were identified, whilst profiling of households during the Build Up to the Outreach Programme on National Marriage Week at Mooi River, and beneficiaries affected by fire and storm disasters at Mooi River & Vulindlela. 
","To ensure implementation in line with available budget.
",N/A,,"The overachievement is due to increased identification of families in distress affected by disaster at Mkhambathini, Impendle and Richmond. 
","To ensure implementation in line with available budget.
",Noted.,,"The overachievement is due to inclement weather conditions and climate change, increased number of flood victims who were affected and in need of SRD & extended family structures who received SRD. 
","To ensure implementation in line with available budget.
",,,,100
