Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q3,DesiredPerformance,National_Q1,National_Q3,National_Q4,OTP_Q1,UID
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 4:  Veterinary Services,Sub Programme 4.4: Veterinary Diagnostics Services,Quarterly,Number of laboratory tests performed according to approved standards,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",31237,25718,31238,,22238,APP Retabled,40237,APP Re-tabled,124950,25718,25718,APP was re-tabled during period under review as per DPME directive. ,,,There were lesser samples that were tested at the laboratory than were expected this quarter,To solicit field colleagues to survey more farms so as to increase the number of samples,,,APP Retabled,APP Retabled,APP Re-tabled,APP Re-tabled,Output not reported and the reason for deviation is not clear. Please indicator if the indicator is removed or targets are adjusted. This will assist in assessment of the correct number indicators,,Noted,,,Department to develop an improvement plan with clear deadlines on how the department will recover ,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 4:  Veterinary Services,Sub Programme 4.4: Veterinary Diagnostics Services,Quarterly,Number of laboratory tests performed according to approved standards ,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Growth and Job Creation,Not Applicable,31237,,22907, 	34 555,22907,29 437,22907,28868,99958,92860,118578,,,,,,The traveling authorization was approved and resulted in the samples being submitted to the laboratory,The backlog that was created by the traveling situation will normalize as soon as the backlog is addressed,Variance is linked to increased investigation of Controlled Diseases after the province was oppressed with such. There is also an emphasis on Brucellosis Reduction Plan which has been refocused this quarter,"Target to be adjusted in the next financial year planning, now that the issues that had caused a slight slump have been addressed",The variation is caused by the increase in the number of samples that are tested at the laboratory because of more surveillance for diseases,The target for the following financial year will be based on this year’s,,National and/or international recognition of the disease-free declaration status of the country ,,"Performance is 118%, against a target of 24 990 as captured in the approved Re-tabled APP. Reason for deviation is noted",Reason for deviation and corrective action is noted,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 4:  Veterinary Services,Sub Programme 4.5: Veterinary Technical Support Services,Quarterly,Number of Performing Animals Protection Act (PAPA) registration licences issued,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,0,0,0,18,24,18,24,24,,,,None. This indicator is not targeted for in the Quarter under review,None,"None, Indicator not targeted for Quarter under review",None,"None. 

Indicator targeted for Q4",Targeted for Q4,More facilities/companies registered as animal welfare entities than had registered the previous year,The current number of facilities will be declared to be the target for the outer years,,,noted,None, Reason  for deviation and corrective action is noted,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 5:	Research and Technology Development Services,Sub Programme 5.1: Agricultural Research,Annually,Number of research projects implemented to improve agricultural production,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,25,25,25,25,25,None,None,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Annually,Number of new technologies developed for the smallholder producers,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2,2,2,2,2,None,None,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Annually,Number of scientific papers published,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,5,5,5,5,5,None,None,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Quarterly,Number of research presentations made at peer reviewed events,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0, 7,12,2,0,4,12,13,13,APP was re-tabled during period under review as per DPME directive. ,,,None. This indicator is not targeted for in the Quarter under review,None,"The requests to attend and present at the two conferences and one symposium were received after the submission of the APP plans of the programme. The requests were then considered because confirmations for other conference events that were originally planned for were not coming forth, risking failure to achieve the original target.","In future, the programme will do everything practically possible to align the submission of the APP targets for the programme with the confirmed conference events.","Majority of presentations targeted for the Quarter were achieved earlier than anticipated in Q2.

The challenge leading to the shortfall of 03 Presentations not achieved was due to abstracts of some of the conferences that were requested late outside the quarter, which further delayed necessary processes 
	
","Contingency Plan is to address shortfall through upcoming annual Provincial Extension Conference to be held in February 2025


","The peer-reviewed
presentations were
originally targeted
for Q3. When this
did not materialize,
a science seminar
was organized in Q4
as a remedial action","A science
symposium will be
organized to avoid
entirely depending
on external
conferences
",,,Noted,Reason for deviation and corrective action noted,Reported achievement is noted. Reason for deviation and corrective action are noted ,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Quarterly,Number of research presentations made at technology transfer events,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",10,10,17,17,20,20,13,13,60,60,60,,,,None ,None ,None,None,None,None,None,None,,,noted,None,None,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 5:	Research and Technology Development Services,Sub Programme 5.3: Research Infrastructure Support Services,Annually,Number of research infrastructure managed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,5,5,5,5,5,None,None,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Quarterly,Number of agribusinesses supported with Black Economic Empowerment advisory services,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,20,20,30,30,10,10,60,60,60,,,,None. This indicator is not targeted for in the Quarter under review,None,None,None,None,None,None,None,,,Noted,None ,None,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Quarterly,Number of agri-businesses supported with marketing services,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",60,60,110,110,100,100,60,60,330,330,330,,,,None,None,None,None,None,None,None,None,,,noted,None ,None,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Quarterly,Number of clients supported with production economic services,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",15,15,30,23,40,64,15,15,100,117,117,,,,None,None,This is a demand driven activities and few client requests were received,"With the recent closure of the call for applications for CASP funding, a number of requests is expected for business plan development during Q3 and Q4","Over-achievement addressing the shortfall of 07 Clients not supported in Quarter 2. 

Furthermore, target exceeded due to the response to Call for Applications of 2025/26 CASP/Illima Letsema grant funding which stimulated a high demand for assistance with production economics advice from Farmers","Proper planning and targeting for 2025/26 has been done to ensure structured and authentic reporting 
	
",None,None,,,noted,160% achievement. Reason for deviation and corrective action well captured and noted ,None,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 6: Agricultural Economic Services,Sub Programme 6.2: Agro-Processing Support,Annually,Number of agri-businesses supported with agro-processing initiatives,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,10,10,10,10,10,None,None,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 6: Agricultural Economic Services,Sub Programme 6.3: Macroeconomics Support,Quarterly,Number of economic reports compiled,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,2,2,2,2,1,1,5,5,5,,,,None. This indicator is not targeted for in the Quarter under review,None,None,None,None,None,None,None,,,Noted,None ,None,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 7: Agricultural Education and Training,Sub Programme 7.1: Higher Education and Training,Annually,Number of students graduated with agricultural qualification,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,80,82,,,80,82,106,"Students who could 
not complete the 
program in the outer 
years, have satisfied
the requirements to 
be certified and 
awarded their 
Diplomas",None,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 7: Agricultural Education and Training,Sub Programme 7.2: Agricultural Skills Development,Quarterly,Number of participants trained in skills development programmes in the sector,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",400,138,900,,900,APP Retabled,495,APP Re-tabled,2695,138,138,,,,Delayed finalization of SLA with ARC led to less achievement than planned , Shortfall will be recovered in the following quarters during the financial year,,,APP Retabled,APP Retabled,APP Re-tabled,APP Re-tabled,Output not reported and the reason for deviation is not clear. Please indicator if the indicator is removed or targets are adjusted. This will assist in assessment of the correct number indicators,, noted,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 7: Agricultural Education and Training,Sub Programme 7.2: Agricultural Skills Development,Quarterly,Number of participants trained in skills development programmes in the sector,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Growth and Job Creation,Not Applicable,400,,600,690,600,730,400,400 ,2000,1820,1958,,,,,,Credit and non credit bearing trainings commenced during Q2 to make up for Q1 Shortfall,None,"Due to use of internal resources [i.e: the deployment of Training Officers from other units as well as support from Unemployment Graduates [printing of materials; training registers; etc], more participants were trained than was planned. This measures put in place, assisted to address the shortfall that was incurred in previous quarters","Consider deployment 
of Training Officers and support of Unemployment Graduates during planning cycle 2025/26, as one of the measures to fasttrack training within the sector
",None,None,,Higher performance ,,114% achievement. Reason for deviation and corrective action noted,None,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 8: Rural Development ,Sub Programme 8.1: Rural Development Coordination ,Annually,Number of Rural  Infrastructure projects  supported,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,2,2,2,2,2,None,None,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 8: Rural Development ,Sub Programme 8.1: Rural Development Coordination ,Quarterly,1. Number of jobs created  through rural development initiatives,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",100,99,50,,80,APP Retabled,20,APP Re-tabled,250,99,99,APP was re-tabled during period under review as per DPME directive. ,,,Resignation of one graduate resulted in less achievement than planned ,"Due to the resignation, shortfall for the quarter will not be recovered",,,APP Retabled,APP Retabled,APP Re-tabled,APP Re-tabled,Output not reported and the reason for deviation is not clear. Please indicator if the indicator is removed or targets are adjusted. This will assist in assessment of the correct number indicators,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 8: Rural Development ,Sub Programme 8.1: Rural Development Coordination ,Quarterly,2. Number of sustainable rural enterprises supported,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",0,0,2,,3,APP Retabled,2,APP Re-tabled,7,0,0,APP was re-tabled during period under review as per DPME directive. ,,,None. This indicator is not targeted for in the Quarter under review,None,,,APP Retabled,APP Retabled,APP Re-tabled,APP Re-tabled,Output not reported and the reason for deviation is not clear. Please indicator if the indicator is removed or targets are adjusted. This will assist in assessment of the correct number indicators,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 8: Rural Development ,Sub Programme 8.1: Rural Development Coordination ,Quarterly,Number of jobs created through rural development initiatives ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",100,,36,36,94,138,20,20,250,20,293,,,,,,None,None,Over-achievement realised due to additional jobs created through supported Enterprises [Matuwane Animal Feed; Pesetsammidi; Springbokpan; Bosplaas poultry feed enterprise; etc],"Planning to consider the baseline in the new cycle 2025/26, in order to ensure alignment with enterprises supported",None,None,,Higher performance.,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 8: Rural Development ,Sub Programme 8.1: Rural Development Coordination ,Quarterly,Number of sustainable rural Enteprises supported,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,2,2,1,1,1,1,4,1,4,,,,,,None,None,None,None,None,None,,Higher performance desired,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 8: Rural Development ,Sub Programme 8.2: Social Facilitation ,Quarterly,1. Number of Rural Households profiled,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",600,568,800,,800,APP retabled,400,400,2600,895,568,APP was re-tabled during period under review as per DPME directive. ,,,Unavailability of pool vehicles on some occasions when officials needed to conduct profiling,Shortfall will be recovered during the ensuing quarters,,,APP retabled,APP retabled,None,None,Output not reported and the reason for deviation is not clear. Please indicator if the indicator is removed or targets are adjusted. This will assist in assessment of the correct number indicators,,,,,Department to develop an improvement plan with clear deadlines on how the department will recover ,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 8: Rural Development ,Sub Programme 8.2: Social Facilitation ,Quarterly,2. Number of designated group initiatives supported,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",6,6,7, 7,6,6,6,6,25,7,25,,,,None,None,None,None,None,None,None,None,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 8: Rural Development ,Sub Programme 8.2: Social Facilitation ,Quarterly,Number of Rural Households profiled,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Growth and Job Creation,Not Applicable,600,,500, 895,500,523,300,300,1900,300,2286,,,,,,Demand driven and closing of Q1 shortfall,Baseline for next financial year planning,"During quarter under review,  the programme was allocated with a Pool vehicle, which made it possible for more households to be profiled than planned      ","Planning alignment with the baseline during the new planning cycle 2025/26,  across all the quarters",None,None,,Higher Performance,,,,,100
